Comune,Provincia,Regione,Nome,Anno inserimento,OpenStreetMap ID,Longitudine,Latitudine
Ferrara,FERRARA,Emilia-Romagna,Dipartimento di Scienze chimiche e Farmaceutiche,2012,1956455563,11.632274,44.837837
Ferrara,FERRARA,Emilia-Romagna,Dipartimento di Scienze mediche,2012,1956459111,11.631909,44.836993
Ferrara,FERRARA,Emilia-Romagna,Dipartimento di Studi umanistici,2012,1956461510,11.621191,44.832344
Grosseto,GROSSETO,Toscana,Universita di Siena a Grosseto,2012,1962592721,11.114758,42.761778
Firenze,FIRENZE,Toscana,Accademia Italiana,2012,1986154724,11.249337,43.765763
Torino,TORINO,Piemonte,Facoltà di Architettura,2012,2010253896,7.686763,45.054049
Torino,TORINO,Piemonte,Università  di Torino - Dipartimento di Studi P,2012,2018055299,7.689998,45.065102
Torino,TORINO,Piemonte,Università di Torino - Mineralogia Petrografia,2012,2018055301,7.688745,45.063624
Torino,TORINO,Piemonte,Università  di Torino - Rettorato,2012,2018087957,7.689116,45.069344
Bologna,BOLOGNA,Emilia-Romagna,Accademia di Belle Arti,2015,2088994073,11.352978,44.497784
Roma,ROMA,Lazio,Università Sapienza - Distaccamento Facoltà di Informatica,2015,2128990512,12.517658,41.899161
Moncalieri,TORINO,Piemonte,Università delle Tre Età,2013,2132258218,7.68249,44.999581
Roma,ROMA,Lazio,Pontificia Università della Santa Croce,2014,2144627661,12.473491,41.900689
Roma,ROMA,Lazio,Pontificio Istituto Biblico,2014,2175094020,12.483639,41.898803
Urbino,PESARO E URBINO,Marche,Centro Linguistico d'Ateneo,2015,2330339690,12.637762,43.725573
Argenta,FERRARA,Emilia-Romagna,Università degli Studi di Ferrara,2013,2330777515,11.837366,44.618184
Pesaro,PESARO E URBINO,Marche,Università – sede centrale,2013,2380485516,12.908094,43.921172
Sassari,SASSARI,Sardegna,Polo Umanistico dell'Università di Sassari,2013,2387574309,8.569855,40.718764
San Giuliano Terme,PISA,Toscana,PERCRO Scuola superiore Sant'Anna,2013,2426888658,10.422295,43.729236
Assisi,PERUGIA,Umbria,Facoltà di Economia Del Turismo,2013,2429703803,12.582208,43.052305
Asti,ASTI,Piemonte,Polo universitario di Asti,2013,2440717352,8.210464,44.903017
Cagliari,CAGLIARI,Sardegna,Università di Cagliari (ex clinica Aresu),2014,2444677131,9.114767,39.221361
